dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude
1758144986,1,-73.993816,40.734677,0.0,81.086398,-1.0,81.950125,1,0,12.037045
1758148850,1,-73.99439,40.73528,0.0,23.569135,-1.0,82.673952,1,0,11.698549
1758149110,1,-73.993723,40.735795,0.0,14.245955,0.915746,80.282384,1,0,12.062884
1758149266,1,-73.992782,40.735702,0.0,14.245955,1.026426,80.15657,1,0,12.073916
1758149329,1,-73.991997,40.735285,0.0,14.245955,1.307626,80.879534,1,0,12.661014
1758149515,1,-73.993823,40.736144,0.0,61.394214,-1.0,181.359927,1,0,8.348667
1758149522,1,-73.992949,40.735775,0.0,33.515383,-1.0,84.43819,1,0,8.348637
1758149763,1,-73.991837,40.735274,0.0,65.003503,-1.0,109.173045,1,0,8.301104
1758149891,1,-73.992741,40.735538,0.0,19.605962,-1.0,81.797228,1,0,12.756935
1758149926,1,-73.993521,40.73595,0.0,25.857735,1.511407,80.215764,1,0,33.065397
1758150082,1,-73.994425,40.736378,0.0,11.579913,0.242762,89.946293,1,0,11.446205
1758150222,1,-73.995183,40.736823,0.0,15.595852,-1.0,80.881871,1,0,24.154667
1758150324,1,-73.9961,40.737102,0.0,13.7071,-1.0,83.427598,1,0,9.845015
1758151366,1,-73.989003,40.723454,0.0,74.702268,-1.0,1629.855272,1,0,1.798771
1758152017,1,-73.991229,40.685394,0.0,150.291966,-1.0,4230.680091,1,0,1.705841
1758152187,1,-73.991862,40.684683,0.0,16.921207,-1.0,95.379538,1,0,7.578381
1758152238,1,-73.992257,40.68396,0.0,16.492897,2.029439,86.954473,1,0,9.375629
1758152316,1,-73.992744,40.683262,0.0,20.573874,-1.0,87.765948,1,0,8.573928
1758152436,1,-73.992078,40.682585,0.0,15.844206,-1.0,93.923618,1,0,10.374428
1758152480,1,-73.991164,40.682214,0.0,13.283632,-1.0,80.463703,1,0,10.460531
1758152547,1,-73.990295,40.681919,0.0,15.319757,-1.0,80.436855,1,0,8.150056
1758152622,1,-73.989357,40.681529,0.0,14.064879,-1.0,90.352858,1,0,6.398246
1758152701,1,-73.98842,40.681136,0.0,14.395286,-1.0,90.438949,1,0,6.376147
1758168004,1,-73.988563,40.681085,0.0,2.386747,-1.0,13.349836,1,0,18.804483
1758229278,1,-73.989385,40.68148,0.0,15.794544,-1.0,82.176489,1,0,4.041373
1758229336,1,-73.990264,40.68179,0.0,12.011086,-1.0,81.895741,1,0,5.434634
1758229401,1,-73.991095,40.682183,0.0,9.849681,0.0,82.703391,1,0,6.522512
1758229462,1,-73.991956,40.682519,0.0,12.056695,-1.0,81.793676,1,0,8.817175
1758229499,1,-73.992784,40.682872,0.0,15.205882,-1.0,80.226626,1,0,8.817347
1758229600,1,-73.992479,40.683719,0.0,17.217326,-1.0,97.527717,1,0,9.924016
1758229670,1,-73.992006,40.684447,0.0,14.447431,-1.0,90.19148,1,0,9.137179
1758229747,1,-73.991512,40.685087,0.0,12.768423,-1.0,82.432379,1,0,8.057288
1758230320,1,-73.989272,40.71531,0.0,90.391029,-1.0,3361.536672,1,0,-0.541939
1758230559,1,-73.995147,40.724894,0.0,167.74438,-1.0,1174.35247,1,0,3.15
1758230709,1,-74.001273,40.731086,0.0,19.996608,-1.0,860.642092,1,0,-16.08387
1758230828,1,-73.996637,40.737455,0.0,21.995339,-1.0,808.449142,1,0,5.363711
1758230911,1,-73.995915,40.738362,0.0,20.692016,-1.0,117.747347,1,0,4.838652
1758231028,1,-73.994953,40.738357,0.0,16.870864,-1.0,81.264233,1,0,10.763802
1758231093,1,-73.994076,40.737993,0.0,15.621562,-1.0,84.392599,1,0,20.392247
1758231166,1,-73.993256,40.737617,0.0,29.737988,-1.0,80.878931,1,0,12.214536
1758231274,1,-73.99221,40.737193,0.0,19.758848,-1.0,100.120558,1,0,13.668101
1758233525,1,-73.993229,40.736854,0.0,82.754252,-1.0,93.94981,1,0,62.089431
1758234081,1,-73.992313,40.737069,0.0,42.690624,-1.0,80.977107,1,0,62.230524
1758235777,1,-73.991388,40.736468,0.0,51.902469,-1.0,102.761029,1,0,61.798335
1758240435,1,-73.991404,40.737288,0.0,77.98869,-1.0,91.070913,1,0,62.24733
1758245983,1,-73.993617,40.737676,0.0,14.245955,0.998456,191.839324,1,0,11.736044
1758246070,1,-73.994517,40.738114,0.0,17.940916,-1.0,90.253058,1,0,13.417666
1758246155,1,-73.995444,40.73854,0.0,17.923424,-1.0,91.486342,1,0,13.505398
1758246289,1,-73.99632,40.738952,0.0,39.306933,-1.0,86.999626,1,0,13.110919
1758246368,1,-73.995379,40.73945,0.0,24.416907,-1.0,96.833736,1,0,11.371739
1758246556,1,-73.99587,40.738821,0.0,14.245955,0.793999,81.234249,1,0,10.325191
1758246623,1,-73.996332,40.738191,0.0,14.245955,1.143077,80.108368,1,0,10.133718
1758246691,1,-73.996661,40.737507,0.0,22.883629,-1.0,80.881382,1,0,10.20236
1758246980,1,-73.996505,40.738221,0.0,78.519624,-1.0,80.376403,1,0,1.92236
1758246994,1,-73.996997,40.737572,0.0,37.518384,-1.0,83.193751,1,0,1.92236
1758247465,1,-73.991304,40.723936,0.0,19.998466,-1.0,1588.780247,1,0,0.33236
1758247480,1,-73.989069,40.723231,0.0,77.883484,-1.0,204.412057,1,0,0.33236
1758248165,1,-73.991224,40.685414,0.0,148.485359,-1.0,4203.468946,1,0,0.88236
1758248303,1,-73.991866,40.684717,0.0,18.785541,-1.0,94.531319,1,0,5.768544
1758248360,1,-73.99219,40.684017,0.0,18.266366,-1.0,82.417683,1,0,9.106594
1758248441,1,-73.992655,40.683385,0.0,10.072991,-1.0,80.440767,1,0,5.768544
1758248537,1,-73.992394,40.682649,0.0,14.36427,-1.0,84.656965,1,0,8.398544
1758248595,1,-73.991439,40.682378,0.0,6.912446,1.215062,86.157139,1,0,8.398544
1758248653,1,-73.990559,40.681975,0.0,12.864918,-1.0,86.814132,1,0,6.494366
1758248719,1,-73.989669,40.681658,0.0,11.115991,-1.0,83.063839,1,0,6.490034
1758248776,1,-73.988837,40.68126,0.0,12.582927,-1.0,83.020183,1,0,3.748343
1758254404,1,-73.988567,40.681093,0.0,7.482518,-1.0,29.40938,1,0,18.388544
1758310951,1,-73.989392,40.681504,0.0,17.784604,-1.0,83.350442,1,0,4.355237
1758311015,1,-73.990364,40.681882,0.0,17.775545,-1.0,92.271689,1,0,5.666693
1758311099,1,-73.991245,40.682249,0.0,15.353883,-1.0,84.899435,1,0,6.567081
1758311194,1,-73.992214,40.682604,0.0,15.832035,-1.0,90.909637,1,0,12.380248
1758311335,1,-73.992838,40.683151,0.0,15.844066,-1.0,80.451815,1,0,11.110142
